label,input,output
Artifacts,"Then Sarah had an idea, another dream.",[]
Behavioral,"Then Sarah had an idea, another dream.",[]
Biological Kind,"Then Sarah had an idea, another dream.",['Sarah']
Mental State,"Then Sarah had an idea, another dream.","['dream', 'idea']"
Non-Living Kind,"Then Sarah had an idea, another dream.",[]
Normative Feature,"Then Sarah had an idea, another dream.",[]
Perceptual,"Then Sarah had an idea, another dream.",[]
Social Kind/Role,"Then Sarah had an idea, another dream.",[]
Anthropomorphized,"Then Sarah had an idea, another dream.",[]
Artifacts,"“Wow, what a big house you have!” says Bailey.",['house']
Behavioral,"“Wow, what a big house you have!” says Bailey.","['have', 'says']"
Biological Kind,"“Wow, what a big house you have!” says Bailey.","['you', 'Bailey']"
Mental State,"“Wow, what a big house you have!” says Bailey.",[]
Non-Living Kind,"“Wow, what a big house you have!” says Bailey.",[]
Normative Feature,"“Wow, what a big house you have!” says Bailey.",[]
Perceptual,"“Wow, what a big house you have!” says Bailey.",['big']
Social Kind/Role,"“Wow, what a big house you have!” says Bailey.",[]
Anthropomorphized,"“Wow, what a big house you have!” says Bailey.",[]
Artifacts,And Max king of all the wild things was lonely and wanted to be where someone loved him best of all.,[]
Behavioral,And Max king of all the wild things was lonely and wanted to be where someone loved him best of all.,['wild']
Biological Kind,And Max king of all the wild things was lonely and wanted to be where someone loved him best of all.,"['Max', 'things', 'someone', 'him']"
Mental State,And Max king of all the wild things was lonely and wanted to be where someone loved him best of all.,"['lonely', 'wanted', 'loved']"
Non-Living Kind,And Max king of all the wild things was lonely and wanted to be where someone loved him best of all.,[]
Normative Feature,And Max king of all the wild things was lonely and wanted to be where someone loved him best of all.,['best']
Perceptual,And Max king of all the wild things was lonely and wanted to be where someone loved him best of all.,[]
Social Kind/Role,And Max king of all the wild things was lonely and wanted to be where someone loved him best of all.,['king']
Anthropomorphized,And Max king of all the wild things was lonely and wanted to be where someone loved him best of all.,[]
Artifacts,"Or covers for bicycle seats!""","['seats', 'covers', 'bicycle']"
Behavioral,"Or covers for bicycle seats!""",[]
Biological Kind,"Or covers for bicycle seats!""",[]
Mental State,"Or covers for bicycle seats!""",[]
Non-Living Kind,"Or covers for bicycle seats!""",[]
Normative Feature,"Or covers for bicycle seats!""",[]
Perceptual,"Or covers for bicycle seats!""",[]
Social Kind/Role,"Or covers for bicycle seats!""",[]
Anthropomorphized,"Or covers for bicycle seats!""",[]
Artifacts,Roy draws a rectangle with a red ruler and a pen.,"['pen', 'ruler']"
Behavioral,Roy draws a rectangle with a red ruler and a pen.,['draws']
Biological Kind,Roy draws a rectangle with a red ruler and a pen.,['Roy']
Mental State,Roy draws a rectangle with a red ruler and a pen.,[]
Non-Living Kind,Roy draws a rectangle with a red ruler and a pen.,[]
Normative Feature,Roy draws a rectangle with a red ruler and a pen.,[]
Perceptual,Roy draws a rectangle with a red ruler and a pen.,"['rectangle', 'red']"
Social Kind/Role,Roy draws a rectangle with a red ruler and a pen.,[]
Anthropomorphized,Roy draws a rectangle with a red ruler and a pen.,[]
Artifacts,Glossary content (kuhn-TENT) To feel content means to feel happy and peaceful.,['Glossary']
Behavioral,Glossary content (kuhn-TENT) To feel content means to feel happy and peaceful.,[]
Biological Kind,Glossary content (kuhn-TENT) To feel content means to feel happy and peaceful.,[]
Mental State,Glossary content (kuhn-TENT) To feel content means to feel happy and peaceful.,"['happy', 'content', 'feel', 'content', 'feel', 'peaceful']"
Non-Living Kind,Glossary content (kuhn-TENT) To feel content means to feel happy and peaceful.,[]
Normative Feature,Glossary content (kuhn-TENT) To feel content means to feel happy and peaceful.,[]
Perceptual,Glossary content (kuhn-TENT) To feel content means to feel happy and peaceful.,[]
Social Kind/Role,Glossary content (kuhn-TENT) To feel content means to feel happy and peaceful.,[]
Anthropomorphized,Glossary content (kuhn-TENT) To feel content means to feel happy and peaceful.,[]
Artifacts,Some letters came with nothing more than a stick and a piece of string with a worm on the end.,"['string', 'letters']"
Behavioral,Some letters came with nothing more than a stick and a piece of string with a worm on the end.,['came']
Biological Kind,Some letters came with nothing more than a stick and a piece of string with a worm on the end.,"['stick', 'worm']"
Mental State,Some letters came with nothing more than a stick and a piece of string with a worm on the end.,[]
Non-Living Kind,Some letters came with nothing more than a stick and a piece of string with a worm on the end.,[]
Normative Feature,Some letters came with nothing more than a stick and a piece of string with a worm on the end.,[]
Perceptual,Some letters came with nothing more than a stick and a piece of string with a worm on the end.,['piece']
Social Kind/Role,Some letters came with nothing more than a stick and a piece of string with a worm on the end.,[]
Anthropomorphized,Some letters came with nothing more than a stick and a piece of string with a worm on the end.,[]
Artifacts,Before long Alice Featherlegs caught sight of the three new arrivals.,[]
Behavioral,Before long Alice Featherlegs caught sight of the three new arrivals.,"['caught', 'sight']"
Biological Kind,Before long Alice Featherlegs caught sight of the three new arrivals.,"['Alice Featherlegs', 'arrivals']"
Mental State,Before long Alice Featherlegs caught sight of the three new arrivals.,[]
Non-Living Kind,Before long Alice Featherlegs caught sight of the three new arrivals.,[]
Normative Feature,Before long Alice Featherlegs caught sight of the three new arrivals.,[]
Perceptual,Before long Alice Featherlegs caught sight of the three new arrivals.,"['three', 'new']"
Social Kind/Role,Before long Alice Featherlegs caught sight of the three new arrivals.,[]
Anthropomorphized,Before long Alice Featherlegs caught sight of the three new arrivals.,[]
Artifacts,"A seahorse scuttled… a raindrop puddled… An owl howled, sad, at the moon.",[]
Behavioral,"A seahorse scuttled… a raindrop puddled… An owl howled, sad, at the moon.","['scuttled', 'howled', 'puddled']"
Biological Kind,"A seahorse scuttled… a raindrop puddled… An owl howled, sad, at the moon.","['seahorse', 'owl']"
Mental State,"A seahorse scuttled… a raindrop puddled… An owl howled, sad, at the moon.",['sad']
Non-Living Kind,"A seahorse scuttled… a raindrop puddled… An owl howled, sad, at the moon.","['moon', 'raindrop']"
Normative Feature,"A seahorse scuttled… a raindrop puddled… An owl howled, sad, at the moon.",[]
Perceptual,"A seahorse scuttled… a raindrop puddled… An owl howled, sad, at the moon.",[]
Social Kind/Role,"A seahorse scuttled… a raindrop puddled… An owl howled, sad, at the moon.",[]
Anthropomorphized,"A seahorse scuttled… a raindrop puddled… An owl howled, sad, at the moon.",[]
Artifacts,RAOW RAOW RAOW!,[]
Behavioral,RAOW RAOW RAOW!,[]
Biological Kind,RAOW RAOW RAOW!,[]
Mental State,RAOW RAOW RAOW!,[]
Non-Living Kind,RAOW RAOW RAOW!,[]
Normative Feature,RAOW RAOW RAOW!,[]
Perceptual,RAOW RAOW RAOW!,[]
Social Kind/Role,RAOW RAOW RAOW!,[]
Anthropomorphized,RAOW RAOW RAOW!,[]
Artifacts,"Far below the ocean waves, an arbol lay in bed, his narwhal dreams swimming in his head.",['bed']
Behavioral,"Far below the ocean waves, an arbol lay in bed, his narwhal dreams swimming in his head.","['lay', 'swimming']"
Biological Kind,"Far below the ocean waves, an arbol lay in bed, his narwhal dreams swimming in his head.","['arbol', 'narwhal', 'head']"
Mental State,"Far below the ocean waves, an arbol lay in bed, his narwhal dreams swimming in his head.",['dreams']
Non-Living Kind,"Far below the ocean waves, an arbol lay in bed, his narwhal dreams swimming in his head.","['ocean', 'waves']"
Normative Feature,"Far below the ocean waves, an arbol lay in bed, his narwhal dreams swimming in his head.",[]
Perceptual,"Far below the ocean waves, an arbol lay in bed, his narwhal dreams swimming in his head.",[]
Social Kind/Role,"Far below the ocean waves, an arbol lay in bed, his narwhal dreams swimming in his head.",[]
Anthropomorphized,"Far below the ocean waves, an arbol lay in bed, his narwhal dreams swimming in his head.",[]
Artifacts,I see four donuts.,['donuts']
Behavioral,I see four donuts.,['see']
Biological Kind,I see four donuts.,['I']
Mental State,I see four donuts.,[]
Non-Living Kind,I see four donuts.,[]
Normative Feature,I see four donuts.,[]
Perceptual,I see four donuts.,['four']
Social Kind/Role,I see four donuts.,[]
Anthropomorphized,I see four donuts.,[]
Artifacts,"“This will make him sad,” said the Letter U.",[]
Behavioral,"“This will make him sad,” said the Letter U.","['said', 'make']"
Biological Kind,"“This will make him sad,” said the Letter U.",['him']
Mental State,"“This will make him sad,” said the Letter U.",['sad']
Non-Living Kind,"“This will make him sad,” said the Letter U.",[]
Normative Feature,"“This will make him sad,” said the Letter U.",[]
Perceptual,"“This will make him sad,” said the Letter U.",[]
Social Kind/Role,"“This will make him sad,” said the Letter U.",[]
Anthropomorphized,"“This will make him sad,” said the Letter U.",['Letter U']
