,sentence,word,label,start,end,sure
30,Glossary content (kuhn-TENT) To feel content means to feel happy and peaceful.,content,Mental State,9,16,False
31,Glossary content (kuhn-TENT) To feel content means to feel happy and peaceful.,content,Mental State,37,44,False
32,Glossary content (kuhn-TENT) To feel content means to feel happy and peaceful.,feel,Mental State,32,36,False
33,Glossary content (kuhn-TENT) To feel content means to feel happy and peaceful.,feel,Mental State,54,58,False
51,"A seahorse scuttled… a raindrop puddled… An owl howled, sad, at the moon.",owl,Biological Kind,44,47,False
77,"Now, I wanted just to tell you, and it didn't take long the way I feel about you is a kind of a song.",I,Biological Kind,5,6,False
78,"Now, I wanted just to tell you, and it didn't take long the way I feel about you is a kind of a song.",I,Biological Kind,64,65,False
79,"Now, I wanted just to tell you, and it didn't take long the way I feel about you is a kind of a song.",you,Biological Kind,27,30,False
80,"Now, I wanted just to tell you, and it didn't take long the way I feel about you is a kind of a song.",you,Biological Kind,77,80,False
110,"YES, WE'VE EACH GOT TEN TOES AND WE'VE EACH GOT ONE NOSE AND WE'VE ALL GOT TWO EYES THAT CAN OPEN AND CLOSE AND WE HAVE A FUZZY TUMMY THAT WE ALL LIKE TO PAT AND A LITTLE BELLY BUTTON IN THE MIDDLE OF THAT.",GOT,Behavioral,16,19,False
111,"YES, WE'VE EACH GOT TEN TOES AND WE'VE EACH GOT ONE NOSE AND WE'VE ALL GOT TWO EYES THAT CAN OPEN AND CLOSE AND WE HAVE A FUZZY TUMMY THAT WE ALL LIKE TO PAT AND A LITTLE BELLY BUTTON IN THE MIDDLE OF THAT.",GOT,Behavioral,44,47,False
112,"YES, WE'VE EACH GOT TEN TOES AND WE'VE EACH GOT ONE NOSE AND WE'VE ALL GOT TWO EYES THAT CAN OPEN AND CLOSE AND WE HAVE A FUZZY TUMMY THAT WE ALL LIKE TO PAT AND A LITTLE BELLY BUTTON IN THE MIDDLE OF THAT.",GOT,Behavioral,71,74,False
115,"YES, WE'VE EACH GOT TEN TOES AND WE'VE EACH GOT ONE NOSE AND WE'VE ALL GOT TWO EYES THAT CAN OPEN AND CLOSE AND WE HAVE A FUZZY TUMMY THAT WE ALL LIKE TO PAT AND A LITTLE BELLY BUTTON IN THE MIDDLE OF THAT.",WE,Biological Kind,5,7,False
116,"YES, WE'VE EACH GOT TEN TOES AND WE'VE EACH GOT ONE NOSE AND WE'VE ALL GOT TWO EYES THAT CAN OPEN AND CLOSE AND WE HAVE A FUZZY TUMMY THAT WE ALL LIKE TO PAT AND A LITTLE BELLY BUTTON IN THE MIDDLE OF THAT.",WE,Biological Kind,33,35,False
